ID,GSM429956,GSM429961,GSM429980,GSM429981,
267163_at,36.1,32.7,44.5,48.2,
267164_at,0.9,0.6,0.6,1.7,
267165_at,110.9,100.9,210.5,223.6,
267166_at,5,0.9,6.3,2.6,
267167_at,4.7,0.8,3.7,5.6,
267168_at,8.4,9.5,40.3,30.2,
267169_at,98.9,96.7,72.8,64.8,
267170_at,30.4,30,20.3,32,
267171_at,19.2,16.6,19.8,22.6,
267172_at,1174.8,1195.1,1674.6,1425.4,
267173_at,26.8,24.4,28.8,38.3,
267174_at,229.4,221.4,243,260.6,
267175_s_at,302.3,295.2,293.4,288.9,
267176_at,1.6,3.7,6.8,1.5,
267177_at,9.7,14,16,13.5,
267178_at,52,51.1,14.5,16,
267179_at,107.7,81.9,99.6,85.3,
267180_at,100.3,96.2,99.7,102.1,
267181_at,73.6,76.7,246.6,192,
267182_at,37.5,43.5,32.2,20.7,
267148_at,20.6,17.3,16.5,25.2,
267149_s_at,0.2,0.7,0.3,0.8,
267150_at,2.9,0.5,2.1,1.5,
267120_at,13.6,11.7,14.6,16.7,
267121_at,23.5,22.6,23.2,26.1,
267122_at,3.8,0.3,3.3,2,
267123_at,26.7,26.6,37.2,39.4,
267124_at,7.1,2.9,0.6,5.5,
267125_at,5.6,5,1.1,6.2,
267126_s_at,1389.9,1265.6,871.6,752.4,
267127_at,269.2,289.3,184.8,179.2,
267128_at,93.9,85.7,24.6,27.1,
267129_at,21.6,20,16.6,20.4,
267130_at,168.3,158.6,135.6,140.4,
267131_at,0.4,0.3,2.7,0.4,
267132_at,148,137.4,193.5,173.6,
267133_at,0.4,0.7,0.2,0.9,
267134_at,59.3,56.4,100.3,83.7,
267135_at,19.8,19.4,7.8,11.6,
267136_at,150.8,148.8,86.4,75,
267137_at,6.5,7.7,1.8,0.3,
267138_s_at,257.6,271.5,286.5,342.5,
267139_s_at,0.3,0.3,0.7,0.3,
267140_at,8.6,4.9,27.1,32.6,
267141_at,54.5,57.6,29.9,16.8,
267142_at,88.7,77.7,204.8,211.3,
267143_at,5.3,4,4,5.3,
267144_at,25.7,20,21.7,17.9,
267145_at,116.6,132.9,106.9,95.6,
267146_at,12.4,16.2,4.3,9.9,
267147_at,6.5,4.5,93.3,105.1,
267088_at,898.3,784.1,1142.7,912,
267089_at,21.5,18.6,7.3,6.7,
267090_at,419.9,416.7,456.5,511.9,
267091_at,14.6,12.3,15.9,23.2,
267092_at,206.4,189.3,137.8,150,
267093_at,1367.9,1455.5,1198.3,1203.6,
267094_at,38.2,40.8,46.8,47.7,
267095_at,362.6,410.3,392.8,351.8,
267096_at,35.7,36,46.2,51.6,
267097_at,0.7,1.6,1.7,1.6,
267098_at,0.3,0.3,0.2,0.3,
267099_at,40.8,43.3,49.9,45.4,
267100_at,3.8,1,5.7,0.6,
267101_at,32.5,33.7,31.6,40.6,
267102_at,95.8,88.1,108.6,94.7,
267103_at,57.7,69.7,60.5,71.9,
